体	からだ	Corps				
身体	しんたい、からだ	Corps				
人体	じんたい	Le corps humain				
五体	ごたい	Le corps entier				
大体	だいたい	Points essentiels; en gros				
風体	ふうてい、ふうたい	Tenue, mine, apparence				
自ら	みずから	Soi-même				
自分	じぶん	Soi-même; de soi, à soi				
自身	じしん	Soi-même; en personne				
自体	じたい	Son propre corps; soi-même				
自国	じこく	Son propre pays				
自らの手で	みずからのてで	De ses propres mains				
見る	みる	Voir				
見える	みえる	Être visible				
見せる	みせる	Montrer				
一見	いっけん	Regard, coup d'oeil				
先見	せんけん	Clairvoyance, prescience				
見本	みほん	Échantillon				
見出し	みだし	En-tête, titre; indice				
見分ける	みわける	Distinguer, différencier				
聞く	きく	Ententre, écouter, demander				
聞こえる	きこえる	Être audible				
見聞	けんぶん	Information, observation, expérience				
風聞	ふうぶん	Rumeur, oui-dire				
聞き手	ききて	Auditeur, auditoire				
聞き入れる	ききいれる	Exaucer, agréer				
取る	とる	Prendre				
取り出す	とりだす	Extraire; tirer; choisir				
足取り	あしどり	Allure, démarche				
聞き取る	ききとる	Percevoir, entendre				
日取り	ひどり	Date prévue				
取り上げる	とりあげる	Prendre; adopter; confisquer				
言う	いう	Dire				
言明	げんめい	Déclaration, proclamation				
一言	いちごん、ひとこと	Un mot, une parole				
一言二言	ひとことふたこと	Un mot ou deux				
小言	こごと	Reproche; murmure; médisance				
言い分	いいぶん	Chose à dire; objection				
語る	がたる	Raconter				
語らう	がたらう	Converser				
言語	げんご	Langue				
日本語	にほんご	La langue japonaise				
国語	こくご	La langue japonaise/nationale				
フランス語	ふらんすご	La langue française				
語り手	かたりて	Narrateur, récitant				
行く	いく、ゆく	Aller				
行	ぎょう	Ligne, colonne (texte)				
行う	おこなう	Accomplir, exécuter, organiser				
一行	いっこう	Groupe, suite, compagnie				
一行	いちぎょう	Une ligne (de texte)				
行間	ぎょうかん	Espace (entre des lignes)				
行き先	いきさき、ゆきさき	Destination				
来る	くる	Venir				
来る	きたる	Venir				
来す	きたす	Donner lieu				
来年	らいねん	L'an prochain				
来月	らいげつ	Le mois prochain				
来日	らいにち	Venir au Japon				
本来	ほんらい	Origine; primitivement				
以来	いらい	Depuis lors				
方	ほう	Direction, côté				
方	かた	Direction; personne; manière				
一方	いっぽう	Un côté; par ailleurs; uniquement				
四方	しほう	Points cardinaux, de tous côté; tous pays				
八方	はっぽう	Toutes directions; tous côtés				
方言	ほうげん	Dialecte				
目方	めかた	Poids				
東	ひがし	Est				
東方	とうほう	L'est, l'Orient				
中東	ちゅうとう	Proche Orient				
東大	とうだい	Université de Tôkyô (Abr. de Tôkyô Daigaku)				
東アジア	ひがしアジア	Asie Orientale				
東ヨーロッパ	ひがしヨーロッパ	Europe de l'Est				
西	にし	Ouest				
西方	せいほう	L'ouest, l'Occident				
東西	とうざい	L'est et l'ouest; d'est en ouest				
西風	せいふう、にしかぜ	Vent d'Ouest				
西日	にしび	Soleil d'après-midi				
西ヨーロッパ	にしヨーロッパ	Europe de l'Ouest				
北	きた	Nord				
北方	ほっぽう	Nord				
北風	ほくふう、きたかぜ	Vent du nord				
東北	とうほく	Tôhoku (Région du nord-Japon)				
北東	ほくとう	Nord-est				
北北東	ほくほくとう	Nord-nord-est				
南	みなみ	Sud				
西南	せいなん	Sud-ouest				
東南アジア	とうなんアジア	Asie du Sud-Est				
南北	なんぼく	Nord et sud, Nord-Sud				
南アルプス	みなみアルプス	Alpes du sud (au Japon)				
南口	みなみぐち	Entrée/sortie Sud				
左	ひだり	Gauche				
左方	さほう	Côté gauche				
左手	ひだりて	Main gauche; à main gauche				
左足	ひだりあし	Pied/jambe gauche				
左目	ひだりて	Oeil gauche				
左上	ひだりうえ	En haut à gauche				
右	みぎ	Droite				
右方	うほう	Côté droit				
左右	さゆう	Gauche et droite; influence				
右手	みぎて	Main droite; à main droite				
右から左へ	みぎからひだりへ	De droite à gauche; rapidement				
当てる	あてる	Toucher; destiner; atteindre; faire face				
当たる	あたる	Toucher; destiner; atteindre; faire face				
本当	ほんとう	Vrai; réellement				
当時	とうじ	Dans ce temps, alors; ce moment-là				
当分	とうぶん	Pour le moment, pour quelque temps				
手当て	てあて	Allocation, rémunération; soins médicaux				
一人当たり	ひとりあたり	Par personne, par tête				
石	いし	Pierre				
石けん	せっけん	Savon				
木石	ぼくせき	Arbres et pierres; insensibilité				
小石	こいし	Caillou				
石切り	いしきり	Taille de pierre; carrière				
物	もの	Objet, chose				
人物	じんぶつ	Personne, personnage				
生物	せいぶつ	Être vivant, vie				
見物	けんぶつ	Visite, excursion				
物語	ものがたり	Récit, histoire				
本物	ほんもの	D'origine, vrai				
事	こと	Chose, fait, évènement				
人事	じんじ	Affaires humaines, affaires personnelles				
火事	かじ	Incendie				
事前	じぜん	Au préalable				
事後	じご	Après				
大事	だいじ	Matière importante; important				
出来事	できごと	Évènement, incident				
一夕	いっせき	Un soir				
夕方	ゆうがた	Soir				
夕日	ゆうひ	Soleil couchant				
夕月	ゆうづき	Lune au soir				
七夕	たなばた	Fête des Étoiles (7 juillet)				
名	な	Nom				
人名	じんめい	Nom de personne, patronyme				
名人	めいじん	Expert, maître, virtuose				
名物	めいぶつ	Spécialité, produit spécial				
大名	だいみょう	Seigneur, feudataire				
名前	なまえ	Nom				
外	そと	Extérieur				
外	ほか	Autre				
外れる	はずれる	Manquer				
外す	はずす	Manquer				
外(国)人	がい(こく)じん	Étranger				
外来語	がいらいご	Mot d'origine étrangère, mot d'emprunt				
外出	がいしゅつ	Sortir (de la maison)				
以外	いがい	Outre, excepté				
内	うち	Intérieur				
国内	こくない	Domestique, dans le pays				
体内	たいない	Dans le corps, interne				
内外	ないがい	Intérieur et extérieur; domestique et étranger				
年内に	ねんないに	Avant la fin de l'année				
一年以内に	いちねんいないに	Avant un an				
死	し	Mort				
死ぬ	しぬ	Mourir				
死体	したい	Cadavre, corps				
死人	しにん	Défunt				
死後	しご	Après la mort				
水死	すいし	Noyade				
死語	しご	Langue morte; mot tombé en désuétude				
一部	いちぶ	Une partie; un exemplaire				
部分	ぶぶん	Un morceau; une partie				
大部分	だいぶぶん	Majeure partie; la plupart				
本部	ほんぶ	Siège central				
北部	ほくぶ	Le nord (d'un pays, d'une région)				
一倍	いちばい	Une fois autant				
二倍	にばい	Double, deux fois autant				
三倍	さんばい	Triple				
三倍以上	さんばいいじょう	Plus du triple				
倍にする	ばいにする	Doubler (quantité)				
半ば	なかば	Moitié				
半分	はんぶん	Moitié				
半年	はんとし	Demi-année, six mois				
三時半	さんじはん	3 heures et demie				
前半	ぜんはん、ざんぱん	Première moitié				
大半	たいはん	Majorité, plus grande partie				
全く	まったく	Tout, entier				
全て	すべて	Tout				
全部	ぜんぶ	Tout, la totalité				
全国	ぜんこく	Tout le pays				
全体	ぜんたい	La totalité, en totalité				
全身	ぜんしん	Tout le corps				
万全	ばんぜん	Parfait, sécurité absolue				
回す	まわす	Faire tourner, faire circuler				
回る	まわる	Tourner				
十回	じっかい	10 fois				
今回	こんかい	Cette fois				
前回	ぜんかい	La dernière fois				
言い回し	いいまわし	Expression, façon de dire				
上回る	うわまわる	Dépasser, excéder				
周り	まわり	Rotation; circonférence; environs				
一周	いっしゅう	Un tour				
半周	はんしゅう	Moitié de tour, demi-cercle				
円周	えんしゅう	Circonférence				
１００周年	ひゃくしゅうねん	Centième anniversaire				
週	しゅう	Semaine				
二週間	にしゅうかん	Deux semaines				
先週	せんしゅう	La semaine dernière				
今週	こんしゅう	Cette semaine				
来週	らいしゅう	La semaine prochaine				
週日	しゅうじつ	Jour de semaine				
無い	ない	Ne pas être; il n'y a pas				
無名	むめい	Inconnu; anonyme				
無口	むくち	Taciturne, laconique				
無言	むごん	Silencieux, muet				
無休	むきゅう	Sans jour de repos, ouvert tous les jours				
無事	ぶじ	Sain et sauf; sans problème/incident				
不足	ふそく	Insuffisance, manque				
不十分	ふじゅうぶん	Insuffisant, imparfait, incomplet				
行方不明	ゆくえふめい	Porté disparu, manquant				
不当	ふとう	Injuste, incorrect, immérité, illégal				
不死身	ふじみ	Invulnérable, immortel				
長い	ながい	Long				
部長	ぶちょう	Directeur, chef de section				
身長	しんちょう	Taille (d'une personne)				
長時間	ちょうじかん	Pendant de longues heures, longtemps				
長年	ながねん	Nombreuses/longues années				
長い間	ながいあいだ	Pendant longtemps				
出発	しゅっぱつ	Départ, démarrage; se mettre en route				
発明	はつめい	Invention				
発見	はっけん	Découverte				
発行	はっこう	Publication, édition				
発足	ほっそく、はっそく	Début, inauguration, fondation				
心	こころ	Coeur, esprit				
中心	ちゅうしん	Centre, milieu				
内心	ないしん	Vrai sentiment, tréfonds de l'âme				
本心	ほんしん	Sentiments intimes, intention secrète				
一心に	いっしんに	Avec ferveur/passion; de tout son coeur				
心身	しんしん	Corps et esprit/âme				
中性	ちゅうせい	Neutre (grammaire); neutre				
人性	じんせい	Nature humaine				
性行	せいこう	Comportement habituel				
性分	しょうぶん	Nature, tempérament				
本性	ほんしょう、ほんせい	Vrai caractère, véritable nature				
思う	おもう	Penser, croire				
思い出	おもいで	Souvenir, souvenance				
思い出す	おもいだす	Se souvenir				
思い切って	おもいきって	Résolument, d'une façon décidée				
思いやり	おもいやり	Prévenance, attention, sympathie				
思い上がった	おもいあがった	Prétentieux, infatué, suffisant				
力	ちから	Force				
体力	たいりょく	Force physique				
水力	すいりょく	Force hydraulique				
風力	ふうりょく	Force du vent/éolienne				
全力	ぜんりょく	Toutes ses forces, tout son possible				
無力	むりょく	Sans force, impuissant				
男	おとこ	Homme				
男性	だんせい	Homme; genre masculin				
長男	ちょうなん	Fils aîné				
男の人	おとこのひと	Homme				
山男	やまおとこ	Montagnard; alpiniste; génie des montagnes				
大男	おおおとこ	Homme de grande taille, géant				
女	おんな	Femme				
女性	じょせい	Femme				
長女	ちょうじょ	Fille aînée				
男女	だんじょ	Hommes et femmes				
女の人	おんなのひと	Femme				
女心	おんなごころ	Coeur de femme, propre de la femme				
子	こ	Enfant				
男子	だんし	Garçon, homme				
男の子	おとこのこ	Garçon				
女子	じょし	Fille, femme				
女の子	おんなのこ	Fille				
分子	ぶんし	Molécule; élément; numérateur				
好む	このむ	Aimer				
好く	すく	Aimer				
好物	こうぶつ	Plat favori				
好人物	こうじんぶつ	Brave homme				
物好き	みのずき	Curiosité				
大好き	だいすき	Aimer beaucoup				
好き好き	すきずき	Question de goût				
安い	やすい	Bon marché				
安心	あんしん	Être rassuré/tranquillisé				
安全	あんぜん	Sécurité				
不安	ふあん	Inquiétude, anxiété, angoisse				
目安	めやす	Critère; objectif, but				
安物	やすもの	Article bon marché, camelote				
案	あん	Plan				
案内	あんない	Conduite, information				
案外	あんがい	Contre toute attente, inattendu				
名案	めいあん	Bonne idée, idée de génie				
思案	しあん	Réflexion, considération				
案出	あんしゅつ	Inventer, imaginer				
用	よう	Affaire; usage				
用いる	もちいる	Utiliser				
用事	ようじ	Affaire, occupation, chose à faire				
用語	ようご	Terme (technique), terminologie				
無用	むよう	Inutile, superfllu, inemployable				
男子用	だんしよう	Pour homme				
用水	ようすい	Eau d'irrigation, citerne d'eau				
電力	でんりょく	Énergie/force électrique				
電子	でんし	Électron				
電子レンジ	でんしレンジ	Four à micro-ondes				
発電	はつでん	Production de l'électricité				
風力発電	ふうりょくはつでん	~ par énergie éolienne				
学ぶ	まなぶ	Étudier				
大学	だいがく	Université				
学部	がくぶ	Faculté				
入学	にゅうがく	Entrée/admission dans une école				
学生	がくせい	Étudiant, élève				
言語学	げんごがく	Linguistique				
字	じ	Caractère, lettre				
字	あざ	Hameau, partie d'un village				
国字	こくじ	Écriture d'un pays; écriture japonaise				
ローマ字	ローマじ	Alphabet latin; romanisation du japonais				
当て字	あてじ	Kanji utilisé pour sa valeur phonétique				
字体	したい	Forme d'un caractère, police d'écriture				
十字	じゅうじ	Croix				
文	ぶん	Texte, phrase, littérature				
文	ふみ	Lettre, note				
文字	もじ、もんじ	Lettre, caractère				
文学	ぶんがく	Littérature				
本文	ほんぶん	Texte/corps d'un document				
文語	ぶんご	Langue écrite; japonais classique				
文明	ぶんめい	Civilisation				
母	はは	Mère				
母子	ぼし	Mère et enfant				
生母	せいぼ	Mère biologique				
母国語	ぼこくご	Langue maternelle				
母方	ははかた	Du côté maternel, maternel				
お母さん	おかあさん	Mère				
父	ちち	Père				
父母	ふぼ、ちちはは	Père et mère				
父子	ふし	Père et enfant/fils				
父方	ちちかた	Du côté paternel, paternel				
父上	ちちうえ	Père (poli)				
お父さん	おとうさん	Père				
交じる	まじる	Être mélangé, se mêler/mélanger				
交ざる	まざる	Être mélangé, se mêler/mélanger				
交える	まじえる	Mélanger				
交ぜる	まじぜる	Mélanger				
交わる	まじわる	Se croiser, entretenir des relations avec				
交う	かう	Se croiser, entretenir des relations avec				
交わす	かわす	Échanger (des paroles)				
国交	こっこう	Relations diplomatiques				
外交	がいこう	Politique étrangère, diplomatie				
性交	せいこう	Relations sexuelles				
学校	がっこう	École				
小学校	しょうがっこう	École primaire				
中学校	ちゅうがっこう	École secondaire				
母校	ぼこう	Alma mater, son (ancienne) école				
校長	こうちょう	Directeur d'école				
毎年	まいとし、まいねん	Chaque année, annuel				
毎月	まいつき、まいげつ	Tous les mois, mensuel				
毎週	まいしゅう	Chaque semaine, toutes les semaines				
毎日	まいにち	Tous les jours, quotidien				
毎時	まいじ	Toutes les heures, par heure, à l'heure				
海	うみ	Océan				
大海	たいかい	Océan				
海上	かいじょう	Sur mer, maritime				
海外	かいがい	Outre-mer, étranger				
内海	うちうみ、ないかい	Mer intérieure				
日本海	にほんかい	Mer du Japon				
土地	とち	Terrain, sol				
地下	ちか	Souterrain, sous-sol				
地方	ちほう	Région, province				
地名	ちめい	Nom de lieu, toponyme				
生地	きじ	Étoffe brute; vraie nature				
生地	せいち	Lieu de naissance				
池	いけ	Étang, pièce d'eau				
用水地	ようすいち	Réservoir d'eau				
電池	でんち	Pile, batterie				
池田	いけだ	Ikeda (nom propre)				
小池	こいけ	Koike (nom propre)				
他	ほか	Autre				
他人	たにん	Autre personne; étranger				
他国	たこく	Autre pays, pays étranger				
他方	たほう	Autre côté/direction; par ailleurs				
自他	じた	Soi et les autres; généralement				
その他	そのた	Et autres; en outre; etc.				
立つ	たつ	Se dresser				
立てる	たてる	Élever				
国立	こくりつ	National, d'Etat				
自立	じりつ	Indépendant, autonome				
中立	ちゅうりつ	Neutre, neutralité				
